,类别,标题,经度,纬度
1215,三星半店铺,郑州藤麻麻藤椒豆花鸡(西元国际店),113.6314192,34.75343885
1216,三星半店铺,郑州洪老五锅塌羊肉,113.6314192,34.75343885
1225,三星半店铺,郑州糊辣鱼(桐柏店),113.6314192,34.75343885
1235,三星半店铺,郑州王婆大虾(工人路店),113.6272026,34.73408328
1237,三星半店铺,郑州老四串串香(伊河路店),113.6347158,34.76230683
1243,三星半店铺,郑州锅圈食汇火锅烧烤食材超市(工人路店),113.6426442,34.70808064
1256,四星店铺,郑州牛蛙爱上虾(伊河路店),113.6251713,34.74893039
1261,四星店铺,郑州焄焄串串(中原新城大商新玛特店),113.6223249,34.74177813
1265,三星半店铺,郑州舟友沸腾渔港(大商新玛特中原新城店),113.6223249,34.74177813
1278,三星半店铺,郑州六十五号锅,113.6314192,34.75343885
1282,三星半店铺,郑州树懒.大街小巷(亚星时代广场店),113.6329221,34.71573729
1284,三星半店铺,郑州香豫新密大隗牛肉(工人路帝湖店),113.6252425,34.72013677
1289,三星半店铺,郑州方城烩面烩羊肉,113.6271217,34.71970796
1290,三星半店铺,郑州诚记羔羊涮锅,113.6291786,34.76109371
1297,三星半店铺,郑州好吃的羊肉,113.6314192,34.75343885
1305,三星半店铺,郑州涮先生川锅食汇,113.653925,34.7374344
1308,三星半店铺,郑州石锅羊肉,113.6314192,34.75343885
1310,三星半店铺,郑州铁板豆腐(郑大店),113.6538087,34.76180826
1311,三星半店铺,郑州啊哈食客,113.6314192,34.75343885
1327,三星店铺,郑州张三大盘鸡石锅鱼,113.6475048,34.71980587
1329,三星店铺,郑州徐记土鸡专卖,113.6310387,34.72579372
1337,三星店铺,郑州砂锅风味小吃串串香,113.5209424,34.71388271
1338,三星半店铺,郑州川味芋儿肥肠鸡,113.6314192,34.75343885
1344,三星半店铺,郑州锅锅鸡锅锅鱼,113.6314192,34.75343885
1348,三星半店铺,郑州围辣小火锅(光合大厦店),113.6266155,34.74873426
1349,三星半店铺,郑州爱尚煮旋转小火锅,113.6254264,34.7485365
1352,三星半店铺,郑州欢禧·庭院火锅,113.6314192,34.75343885
1353,三星半店铺,郑州臻郑羊馆儿(陇海路店),113.6314192,34.75343885
1367,三星店铺,郑州川味牛杂火锅,113.6314192,34.75343885
1368,三星半店铺,郑州广顺德猪肚鸡(清江路店),113.6315348,34.71823865
1373,三星半店铺,郑州金鳞小火锅(光合大厦店),113.6266155,34.74873426
1375,三星半店铺,郑州厨贝乐洛阳涮牛肚火锅,113.627106,34.74989143
1376,四星半店铺,郑州执牛耳涮烤牛排火锅,113.6314192,34.75343885
1388,三星半店铺,郑州成都青年串串香(汝河路店),113.623968,34.7485629
1392,三星半店铺,郑州牛一品牛杂萝卜面,113.6314192,34.75343885
1395,三星店铺,郑州信阳鱼情味了,113.6314192,34.75343885
1399,三星半店铺,郑州鼎记牛杂煲(工人路店),113.6272026,34.73408328
1401,三星半店铺,郑州旋转小火锅(工人路店),113.6272026,34.73408328
1417,三星半店铺,郑州昕时器蒸汽石锅鱼(大商新玛特店),113.6223249,34.74177813
1423,三星半店铺,郑州重庆老梯口李记串串老火锅,113.649576,34.73098994
1429,三星半店铺,郑州牛大侠牛骨虾尾烧烤(工人路店),113.6428148,34.71854168
1431,三星半店铺,郑州传淇鱼虾锅(大商新玛特店),113.6220554,34.74165355
1435,三星半店铺,郑州王婆大虾·串串火锅(清江路店),113.6493485,34.72168049
1438,三星半店铺,郑州麻辣青春串串火锅,113.6271358,34.71888979
1444,三星半店铺,郑州锅食无双·火锅烧烤食材超市(沁河路店),113.620861,34.72885995
1449,三星半店铺,郑州胡涂老串串牛油火锅(鸿成光彩店),113.649576,34.73098994
1451,三星半店铺,郑州川府王·四川牛杂火锅,113.6314192,34.75343885
1456,三星半店铺,郑州火潮旋转火锅(鑫苑鑫都汇店),113.6575992,34.74226637
1465,四星店铺,郑州海底捞火锅(京莎广场店),113.6618012,34.72372167
1466,四星店铺,郑州廖老三川味小火锅(郑州店),113.6531977,34.71343673
1468,三星半店铺,郑州廣盛合猪肚鸡养生火锅(兴华南街店),113.6392421,34.71616341
1469,三星半店铺,郑州老北京涮锅(鑫苑鑫都汇店),113.6577729,34.74202974
1474,三星半店铺,郑州兵哥铁锅羊拐筋(勤劳街1店),113.6314192,34.75343885
1476,三星半店铺,郑州菌逸海鲜肥牛自助火锅,113.6314192,34.75343885
1478,三星半店铺,郑州蝎王府羊蝎子(长江中路店),113.6379828,34.71583328
1485,三星半店铺,郑州小小河边鱼(京广路店),113.6631711,34.72233894
1487,五星店铺,郑州巴奴毛肚火锅(桃源路店),113.639854,34.746375
