,类别,评分口味,评分环境,评分服务,人均/元,性价比
87,三星半店铺,3.96,3.95,3.97,47.0,0.2527659574468085
88,三星半店铺,3.96,3.76,3.83,80.0,0.144375
89,三星半店铺,3.83,3.82,3.8,57.0,0.20087719298245613
90,三星半店铺,3.71,3.67,3.69,14.0,0.7907142857142857
91,四星店铺,4.19,4.01,4.11,55.0,0.2238181818181818
92,四星店铺,4.02,3.97,3.95,19.0,0.628421052631579
93,三星半店铺,3.82,3.76,3.73,56.0,0.20196428571428574
94,三星半店铺,3.62,3.66,3.67,31.0,0.3532258064516129
95,三星半店铺,3.79,3.76,3.73,15.0,0.752
96,三星半店铺,3.56,3.52,3.54,14.0,0.7585714285714287
97,三星半店铺,3.84,4.09,3.93,125.0,0.09487999999999999
98,四星半店铺,4.74,4.77,4.84,66.0,0.2174242424242424
99,三星半店铺,3.78,3.76,3.83,59.0,0.19271186440677965
100,三星半店铺,3.67,3.59,3.69,41.0,0.2670731707317073
101,三星半店铺,4.18,3.89,4.03,78.0,0.15512820512820516
102,三星半店铺,3.82,3.72,3.77,69.0,0.16391304347826088
103,四星店铺,4.47,4.42,4.61,118.0,0.11440677966101695
104,四星店铺,4.55,4.16,4.38,61.0,0.21459016393442623
105,三星半店铺,3.96,3.86,3.96,67.0,0.17582089552238808
106,三星半店铺,3.77,3.81,3.89,63.0,0.18206349206349207
107,三星半店铺,3.92,3.74,3.9,61.0,0.18950819672131147
108,三星半店铺,3.64,3.64,3.66,49.0,0.223265306122449
109,三星半店铺,4.13,4.08,3.77,155.0,0.07729032258064517
110,三星半店铺,3.8,3.78,3.82,65.0,0.1753846153846154
111,五星店铺,4.88,4.87,4.87,122.0,0.1198360655737705
112,四星店铺,4.02,3.87,3.98,68.0,0.17455882352941177
113,三星半店铺,3.85,3.77,3.65,64.0,0.17609375
114,三星半店铺,3.81,3.83,3.82,36.0,0.31833333333333336
115,四星半店铺,4.7,4.14,4.22,53.0,0.2464150943396226
116,四星店铺,4.32,4.09,4.13,90.0,0.13933333333333334
117,四星半店铺,4.58,4.54,4.42,83.0,0.16313253012048193
118,四星半店铺,4.66,4.55,4.57,47.0,0.29319148936170214
119,三星半店铺,3.84,3.76,3.8,96.0,0.11874999999999998
120,三星半店铺,3.69,3.52,3.53,55.0,0.19527272727272726
121,三星半店铺,3.82,3.71,3.8,77.0,0.14714285714285713
122,三星半店铺,3.75,3.71,3.74,28.0,0.39999999999999997
123,三星半店铺,3.89,3.8,3.77,64.0,0.17906249999999999
124,三星半店铺,3.82,3.85,3.8,73.0,0.15712328767123285
