,类别,标题,经度,纬度
1872,三星半店铺,郑州北京馆·传统铜锅涮羊肉,113.7043986,34.72248387
1873,三星店铺,郑州王婆大虾(大观国贸店),113.6738873,34.74987141
1874,三星半店铺,郑州草原涮锅,113.746646,34.73968698
1875,三星店铺,郑州鸿茂斋·鸿德祥涮锅(紫辰路店),113.6920936,34.72091932
1877,三星半店铺,郑州大草原冷水煮羊肉(永城之家店),113.7594131,34.73982053
1878,三星半店铺,郑州百年肥羊火锅(原陈寨总店),113.794861,34.72358096
1879,三星半店铺,郑州王婆大虾(南关街店),113.6880752,34.74331982
1883,三星半店铺,郑州李记乡村地锅城(经开第一大街店),113.7473257,34.72941442
1885,三星店铺,郑州鸡公虾煲(经开店),113.7676483,34.73989247
1886,三星半店铺,郑州姥家大灶台(橡树玫瑰城店),113.7188117,34.70947971
1887,三星半店铺,郑州大嘴狼鸡公虾婆(紫辰路店),113.6914587,34.72111506
1890,三星半店铺,郑州老李记铜锅鸡虾尾烧烤(金城街总店),113.6883529,34.73207655
1894,三星半店铺,郑州姥家大锅台(南关街店),113.6820712,34.74460283
1895,三星半店铺,郑州脆鲩楼鱼锅,113.744231,34.73012999
1896,三星半店铺,郑州赤赤骨汤串串香,113.6813745,34.75008644
1898,三星半店铺,郑州潮汕火锅,113.6862325,34.73777895
1899,三星半店铺,郑州正宗潮汕牛肉火锅(南大街店),113.6832359,34.75422686
1901,三星半店铺,郑州简记特色固始鹅火锅,113.682311,34.746941
1903,三星半店铺,郑州壹加壹串串香,113.7180018,34.72849007
1905,三星半店铺,郑州尤记凤鱼坊(未来路店),113.7126073,34.72352741
1906,三星半店铺,郑州涮便利·火锅烧烤食材超市(滨水家园店),113.6758415,34.70184101
1908,三星半店铺,郑州围辣串串香(朝凤路店),113.7400066,34.73157422
1911,三星半店铺,郑州地锅味道秘制地锅柴鸡,113.762192,34.75111999
1916,三星半店铺,郑州潮火锅,113.6782813,34.74619185
1926,三星半店铺,郑州虾渔合,113.6766864,34.74640904
1927,三星店铺,郑州范记武汉旋转小火锅,113.7404673,34.73454478
1930,三星半店铺,郑州哎哟歪旋转火锅,113.7687424,34.72442875
1931,三星半店铺,郑州老妈妈串串香(NO001),113.7194409,34.71274031
1935,三星店铺,郑州鸿聚砂锅居(富田太阳城店),113.714528,34.73237876
1938,三星半店铺,郑州贵福园啤酒鸭,113.6749555,34.74448782
1941,三星店铺,郑州食百仟七里香火锅,113.6718464,34.74905236
1942,三星店铺,郑州特色砂锅烩菜,113.7735035,34.71891019
1943,三星半店铺,郑州胡一串,113.6850814,34.6956976
1946,三星店铺,郑州潮凤记潮州生鲜牛肉火锅,113.7125215,34.72236334
1947,三星店铺,郑州佬船长砂锅烧烤(经开第七大街店),113.7677433,34.72507464
1949,三星店铺,郑州菌烩羊肉,113.7032554,34.72910047
1956,三星半店铺,郑州潮汕记生鲜牛肉火锅(朝凤路店),113.737152,34.74881101
1960,三星半店铺,郑州嗨啤前线(恒大绿洲店),113.7674941,34.720149
1962,三星半店铺,郑州德馨麻辣鱼鲜炒鸡(城东南路店),113.6984385,34.72572193
1969,三星半店铺,郑州老贺铜锅涮羊肉,113.7552393,34.71257147
1970,三星店铺,郑州重庆人火锅,113.7032706,34.72844097
1974,三星半店铺,郑州吾蜀巷子重庆小火锅(橡树玫瑰城店),113.717528,34.71435695
1983,三星半店铺,郑州老诚一锅北京羊蝎子火锅(第五大街店),113.7621763,34.74836232
1984,三星半店铺,郑州正宗潮汕牛肉火锅(原城南路老店),113.6870089,34.75072464
1992,三星半店铺,郑州清真老八涮锅总店回族,113.6777321,34.75643672
2000,三星半店铺,郑州老成都串串香,113.7639005,34.74710903
2008,三星半店铺,郑州豫缘虾道(美景龙堂万科广场店),113.7272966,34.72858041
2013,三星半店铺,郑州赛巴奴毛肚小火锅(开元路店),113.7283578,34.72473923
2088,三星半店铺,郑州髯郎居砂锅炖山羊,113.6965853,34.71680963
2123,三星半店铺,郑州老京城铜锅涮(银通路店),113.750653,34.72973601
2127,三星半店铺,郑州森合壹旋转火锅,113.7687424,34.72442875
2132,三星半店铺,郑州王婆大虾(美景万科店),113.7574923,34.75038437
