,level_0,类别,评分口味,评分环境,评分服务,人均/元,性价比
132,132,三星半店铺,3.8,3.88,3.84,96.0,0.12
133,133,四星店铺,4.09,4.02,3.88,72.0,0.16652777777777775
134,134,四星店铺,4.02,4.04,3.94,55.0,0.21818181818181814
135,135,三星店铺,3.59,3.69,3.54,48.0,0.22541666666666668
136,136,三星半店铺,3.85,3.86,3.82,38.0,0.3034210526315789
137,137,三星半店铺,3.9,3.81,3.85,67.0,0.17253731343283582
138,138,三星半店铺,3.82,3.79,3.79,63.0,0.18095238095238092
139,139,三星半店铺,3.82,3.84,3.83,72.0,0.15958333333333333
140,140,三星半店铺,3.88,3.85,3.89,48.0,0.24208333333333334
141,141,三星半店铺,3.89,3.81,3.77,67.0,0.17119402985074628
142,142,四星店铺,3.97,3.97,3.93,21.0,0.5652380952380953
143,143,三星半店铺,3.83,3.87,3.83,62.0,0.18596774193548388
144,144,三星半店铺,3.82,3.76,3.77,78.0,0.1455128205128205
145,145,三星店铺,3.75,3.64,3.19,70.0,0.15114285714285713
146,146,三星半店铺,3.63,3.6,3.61,50.0,0.2168
147,147,三星半店铺,3.67,3.7,3.62,68.0,0.16161764705882353
148,148,三星半店铺,3.72,3.69,3.69,50.0,0.222
149,149,三星店铺,3.67,3.53,3.57,45.0,0.23933333333333331
150,150,三星半店铺,3.76,3.66,3.66,54.0,0.2051851851851852
151,151,三星半店铺,3.69,3.61,3.67,35.0,0.3134285714285714
152,152,三星半店铺,3.71,3.65,3.7,69.0,0.16028985507246374
153,153,三星半店铺,3.59,3.58,3.59,39.0,0.27589743589743587
154,154,三星半店铺,3.74,3.6,3.66,71.0,0.15492957746478872
155,155,三星半店铺,3.6,3.37,3.42,56.0,0.1855357142857143
156,156,三星店铺,3.37,3.39,3.46,39.0,0.26205128205128203
157,157,三星半店铺,3.85,3.9,3.84,82.0,0.14134146341463413
158,158,三星店铺,3.0,3.0,3.0,50.0,0.18
159,159,三星店铺,3.0,3.0,3.0,50.0,0.18
160,160,三星半店铺,3.0,3.0,3.0,50.0,0.18
161,161,三星店铺,3.0,3.0,3.0,50.0,0.18
162,0,三星半店铺,3.7,3.6,3.78,63.41295280456543,0.17472770956034542
163,1,三星半店铺,3.61,3.62,3.61,63.26231346130371,0.17135004091544345
164,2,三星半店铺,3.56,3.53,3.57,63.157419204711914,0.16878460415628735
165,3,三星半店铺,3.74,3.7,3.74,63.46163063049316,0.17616944110837324
166,4,三星店铺,3.77,3.87,3.75,63.59855995178223,0.1790921053658357
167,5,三星半店铺,3.57,3.57,3.58,63.192012786865234,0.16964169247396094
168,6,三星半店铺,3.58,3.59,3.59,63.21574172973633,0.17021076879872402
169,7,三星半店铺,3.83,3.67,3.71,63.46313133239746,0.17663799066714786
170,8,三星半店铺,3.58,3.54,3.56,63.16493949890137,0.16908114034029523
171,9,三星半店铺,3.72,3.73,3.72,63.459760665893555,0.17601705210973662
172,10,三星半店铺,3.92,3.94,3.94,63.84135971069336,0.18483315602100986
173,11,三星半店铺,4.04,3.94,3.96,63.90730934143066,0.1868330887819022
174,12,三星半店铺,3.53,3.61,3.61,63.22166862487793,0.17003663828907295
175,13,三星半店铺,3.95,3.96,4.05,63.94731407165527,0.18702896554182696
176,14,三星半店铺,3.54,3.55,3.56,63.15287704467774,0.16863839777981324
177,15,三星半店铺,3.74,3.71,3.74,63.46852607727051,0.1763078598418467
178,16,三星半店铺,3.85,3.85,3.76,63.62761459350586,0.180110476767263
179,17,三星半店铺,3.72,3.69,3.69,63.41255760192871,0.17504419344950675
180,18,三星半店铺,3.5,3.51,3.51,63.08137741088867,0.16676871101714577
181,19,三星店铺,3.55,3.64,3.66,63.28373336791992,0.17145006184954523
182,20,三星半店铺,3.57,3.58,3.57,63.19178428649902,0.16964230589529877
183,21,三星半店铺,3.61,3.6,3.6,63.24212913513183,0.17093036157751532
184,22,三星半店铺,3.62,3.6,3.6,63.24672317504883,0.17107605670025525
185,23,三星店铺,3.45,3.54,3.43,63.02926063537598,0.1653200417545695
186,24,三星店铺,3.47,3.48,3.51,63.05658073425293,0.1658827655765678
187,25,三星店铺,3.46,3.51,3.51,63.06723213195801,0.16617187160001395
188,26,三星半店铺,3.55,3.55,3.58,63.17104835510254,0.169064789616355
189,27,三星半店铺,3.86,3.66,3.78,63.51888198852539,0.17789985664485294
190,28,三星半店铺,3.76,3.75,3.75,63.511719131469725,0.17729011517845575
191,29,三星半店铺,3.62,3.63,3.62,63.28006706237793,0.17177605057347625
192,30,三星半店铺,3.52,3.52,3.49,63.08125228881836,0.16692756750909532
193,31,三星半店铺,3.52,3.53,3.53,63.11300430297852,0.16763581637169336
194,32,三星半店铺,3.57,3.59,3.59,63.21137313842773,0.17006433282913155
195,33,三星店铺,3.63,3.64,3.44,63.18486442565918,0.16950261897928046
196,34,三星店铺,3.55,3.55,3.55,63.15073852539062,0.16864410850425796
197,35,三星半店铺,3.6,3.69,3.68,63.3529655456543,0.1731568507569649
198,36,三星半店铺,3.52,3.52,3.52,63.100680923461915,0.16735160136875182
199,37,三星店铺,3.48,3.52,3.43,63.028717803955075,0.16548012340091603
200,38,三星店铺,3.52,3.52,3.16,62.92470932006836,0.16209848420780784
201,39,三星半店铺,3.41,3.46,3.38,62.93460121154785,0.16286748152333141
202,40,三星半店铺,3.76,3.78,3.78,63.55221405029297,0.17812125303835602
203,41,三星半店铺,3.54,3.51,3.61,63.1705265045166,0.16874958291249678
204,42,三星半店铺,3.63,3.66,3.67,63.338280487060544,0.17303911498258992
205,43,三星半店铺,3.55,3.55,3.54,63.14406509399414,0.16850356378167375
206,44,三星半店铺,3.77,3.66,3.71,63.428657913208006,0.17563039115920304
207,45,三星半店铺,3.51,3.52,3.51,63.08999061584473,0.1670629508280975
208,46,三星半店铺,3.64,3.7,3.74,63.417335510253906,0.17471563431119685
209,47,三星半店铺,3.64,3.73,3.71,63.417498397827146,0.1747151855548378
210,48,三星半店铺,3.51,3.51,3.51,63.08499641418457,0.16691766027638774
211,49,三星半店铺,3.67,3.53,3.41,63.113193893432616,0.1681106492236015
212,50,三星半店铺,3.57,3.57,3.58,63.192012786865234,0.16964169247396094
213,51,三星半店铺,3.55,3.55,3.55,63.15073852539062,0.16864410850425796
214,52,三星半店铺,3.54,3.54,3.54,63.13344383239746,0.1682151226882741
215,53,三星半店铺,3.53,3.54,3.53,63.12270736694336,0.16792689100580466
216,54,三星半店铺,3.58,3.61,3.63,63.255729293823244,0.1710516995186481
217,55,三星半店铺,3.57,3.56,3.56,63.17257575988769,0.16921899845641192
218,56,三星店铺,3.24,3.26,3.27,62.70657958984375,0.1558050218000153
219,57,三星店铺,3.48,3.5,3.49,63.05490837097168,0.16604575711063962
220,58,三星半店铺,3.52,3.52,3.52,63.100680923461915,0.16735160136875182
221,59,三星半店铺,3.81,3.81,3.81,63.61528778076172,0.17967379223986807
222,60,三星半店铺,3.7,3.7,3.7,63.41682777404785,0.17503240684868296
223,61,三星店铺,3.63,3.74,3.78,63.46770973205567,0.17567988583600117
224,62,三星半店铺,3.51,3.52,3.51,63.08999061584473,0.1670629508280975
225,63,三星半店铺,3.58,3.55,3.54,63.15780525207519,0.16894190603067882
226,64,三星半店铺,3.92,3.86,3.75,63.659080505371094,0.18112105780458423
227,65,三星半店铺,3.97,4.02,3.97,63.93997688293457,0.18705042733902044
228,66,三星店铺,3.47,3.47,3.46,63.015629577636716,0.16503842093947438
229,67,三星半店铺,3.6,3.57,3.56,63.19227638244629,0.16979923203052402
230,68,三星店铺,3.49,3.49,3.49,63.05383071899414,0.16604859499592703
231,69,三星半店铺,3.63,3.64,3.63,63.2978328704834,0.17220178805020053
232,70,三星半店铺,3.8,3.69,3.76,63.494819259643556,0.1771798098045827
233,71,三星半店铺,3.62,3.66,3.68,63.34056053161621,0.17303288616350904
234,72,三星半店铺,3.78,3.78,3.78,63.561278915405275,0.17841050704930886
235,73,三星半店铺,3.7,3.81,3.71,63.49926605224609,0.17669495566717855
236,74,三星店铺,3.39,3.4,3.43,62.93199272155762,0.1623975272039828
237,75,三星半店铺,3.61,3.62,3.61,63.26231346130371,0.17135004091544345
238,76,三星半店铺,3.71,3.65,3.84,63.49099235534668,0.17640297598934646
239,77,三星半店铺,3.72,3.71,3.71,63.43948249816894,0.17560042360562345
240,78,三星半店铺,3.63,3.61,3.61,63.26438674926758,0.17150249227896944
241,79,三星半店铺,3.74,3.77,3.75,63.51616516113281,0.17727770515481758
242,80,三星半店铺,3.78,3.75,3.74,63.51398468017578,0.17744123686696725
