,类别,标题,经度,纬度
2111,三星店铺,郑州洛阳古城涮牛肚·特色烧烤(兴隆铺路店),113.6364734,34.81708537
2115,三星店铺,郑州忠鱼重庆鱼火锅(思念果岭店),113.6313747,34.84148674
2117,三星半店铺,郑州齐祺渔锅(月湖广场店),113.6371497,34.83161461
2129,三星半店铺,郑州真伊德涮羊肉羊蝎子(华商广场店),113.635638,34.82979783
2131,三星半店铺,郑州二力涮锅总店,113.6834327,34.75776216
2134,三星半店铺,郑州川江毛肚火锅(国基路店),113.66328,34.8257711
2138,三星半店铺,郑州豫虾当家香辣虾,113.6540314,34.83398888
2141,三星半店铺,郑州京味涮锅,113.7136666,34.743591
2144,三星店铺,郑州老四辈驴肉馆,113.6522311,34.78707365
2145,三星店铺,郑州铜锅涮北京涮锅,113.629561,34.83935896
